estado;titulo;sku_legacy;handle;ps_product_ids;ids_vivos;que_hace_falta;tamano;admin
NO_IMPORTABLE;Beechwood Keychain;PS6087;p-5405-beechwood-keychain;CM453;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS6087
NO_IMPORTABLE;Beveled Aquus Shield Plaque;PS8169;p-7862-beveled-aquus-shield-plaque;CDUS05A CDUS05B;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS8169
NO_IMPORTABLE;Beveled Circle Award with digital color;PS6088;p-5406-beveled-circle-award-with-digital-color;DCCD332A DCCD332B DCCD332C;;DCCD332: sin partes en Product Data (sin stock, con precio);;https://admin.shopify.com/store/trophy-partner/products?query=PS6088
NO_IMPORTABLE;Beveled Clipped Corner Paperweight;PS8173;p-7863-beveled-clipped-corner-paperweight;GM753A GM753B GM753C;;GM753: sin partes en Product Data (con stock, con precio);;https://admin.shopify.com/store/trophy-partner/products?query=PS8173
NO_IMPORTABLE;Beveled Digi Medium Award;PS6100;p-5418-beveled-digi-medium-award;DCGI541A DCGI541B;;DCGI541: sin partes en Product Data (sin stock, con precio);;https://admin.shopify.com/store/trophy-partner/products?query=PS6100
NO_IMPORTABLE;Beveled Paperweight;PS6105;p-5423-beveled-paperweight;CD225A CD225B;;CD225: sin partes en Product Data (con stock, con precio);;https://admin.shopify.com/store/trophy-partner/products?query=PS6105
NO_IMPORTABLE;Black and Clear Acrylic Beveled Perpetual Plaque;PS8197;p-7872-black-and-clear-acrylic-beveled-perpetual-plaque;CD1222;;sin precio o sin ficha;;https://admin.shopify.com/store/trophy-partner/products?query=PS8197
NO_IMPORTABLE;Black Ceramic Mug Large;PS8204;p-7876-black-ceramic-mug-large;CM704-05 CM707-05 CM708-05 CM706-05;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS8204
NO_IMPORTABLE;Black Ceramic Mug Small;PS8203;p-7875-black-ceramic-mug-small;CM705-05;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS8203
NO_IMPORTABLE;Black Crystal Triangular Votive Holder;PS9630;p-8667-black-crystal-triangular-votive-holder;G1001BK;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS9630
NO_IMPORTABLE;Black Glass Arrowhead;PS8215;p-7880-black-glass-arrowhead;G0987A G0987B G0987C;;ningún servicio lo sirve como producto;;https://admin.shopify.com/store/trophy-partner/products?query=PS8215
