supplier_id;kind;paceSetter_line;name;part_of;claimed_by
CM356TL;PRODUCT;CM356*;Leatherette Pen;CM356BL CM356BS CM356DB CM356GR CM356LB CM356PK CM356RS CM356RW;p-8808-leatherette-pen-large
CM370BS;PART;CM370;;CM370;p-8788-leatherette-dice-cup-set
CM370DB;PART;CM370;;CM370;p-8788-leatherette-dice-cup-set
CM370GR;PART;CM370;;CM370;p-8788-leatherette-dice-cup-set
CM371BS;PART;CM371;;CM371;p-8785-leatherette-card-and-dice-set
CM371BV;PART;CM371;;CM371;p-8785-leatherette-card-and-dice-set
CM371GR;PART;CM371;;CM371;p-8785-leatherette-card-and-dice-set
CM371RW;PART;CM371;;CM371;p-8785-leatherette-card-and-dice-set
CM371TL;PART;CM371;;CM371;p-8785-leatherette-card-and-dice-set
CM372BB;PART;CM372;;CM372;p-8080-leatherette-cigar-case-with-cutter
CM372BS;PART;CM372;;CM372;p-8787-leatherette-cigar-case-with-cutter
CM372BV;PART;CM372;;CM372;p-8787-leatherette-cigar-case-with-cutter
CM372DB;PART;CM372;;CM372;p-8787-leatherette-cigar-case-with-cutter
CM372GR;PART;CM372;;CM372;p-8787-leatherette-cigar-case-with-cutter
CM372LB;PART;CM372;;CM372;p-8787-leatherette-cigar-case-with-cutter
CM372RV;PART;CM372;;CM372;p-8787-leatherette-cigar-case-with-cutter
CM372RW;PART;CM372;;CM372;p-8787-leatherette-cigar-case-with-cutter
CM373BS;PRODUCT;CM373*;Leatherette on Steel Shot Glass;CM373BB CM373BV CM373DB CM373GR CM373LB CM373PK CM373RW CM373TL CM373WM;p-8807-leatherette-on-steel-shot-glass
CM373BV;PRODUCT;CM373*;Leatherette on Steel Shot Glass;CM373BB CM373BS CM373DB CM373GR CM373LB CM373PK CM373RW CM373TL CM373WM;p-8807-leatherette-on-steel-shot-glass
CM373DB;PRODUCT;CM373*;Leatherette on Steel Shot Glass;CM373BB CM373BS CM373BV CM373GR CM373LB CM373PK CM373RW CM373TL CM373WM;p-8807-leatherette-on-steel-shot-glass
CM373GR;PRODUCT;CM373*;Leatherette on Steel Shot Glass;CM373BB CM373BS CM373BV CM373DB CM373LB CM373PK CM373RW CM373TL CM373WM;p-8807-leatherette-on-steel-shot-glass
CM373LB;PRODUCT;CM373*;Leatherette on Steel Shot Glass;CM373BB CM373BS CM373BV CM373DB CM373GR CM373PK CM373RW CM373TL CM373WM;p-8807-leatherette-on-steel-shot-glass
CM373PK;PRODUCT;CM373*;Leatherette on Steel Shot Glass;CM373BB CM373BS CM373BV CM373DB CM373GR CM373LB CM373RW CM373TL CM373WM;p-8807-leatherette-on-steel-shot-glass
CM373RV;PART;CM373*;;CM373BB CM373BS CM373BV CM373DB CM373GR CM373LB CM373PK CM373RW CM373TL CM373WM;p-8807-leatherette-on-steel-shot-glass
CM373RW;PRODUCT;CM373*;Leatherette on Steel Shot Glass;CM373BB CM373BS CM373BV CM373DB CM373GR CM373LB CM373PK CM373TL CM373WM;p-8807-leatherette-on-steel-shot-glass
CM373TL;PRODUCT;CM373*;Leatherette on Steel Shot Glass;CM373BB CM373BS CM373BV CM373DB CM373GR CM373LB CM373PK CM373RW CM373WM;p-8807-leatherette-on-steel-shot-glass
CM375BB;ORPHAN;CM375BB;;;p-8093-leatherette-phone-wallet-with-ring
CM375BS;ORPHAN;CM375BS;;;p-8809-leatherette-phone-wallet-with-ring
CM375DB;ORPHAN;CM375DB;;;p-8809-leatherette-phone-wallet-with-ring
CM375GR;ORPHAN;CM375GR;;;p-8809-leatherette-phone-wallet-with-ring
CM375LB;ORPHAN;CM375LB;;;p-8809-leatherette-phone-wallet-with-ring
CM375PK;ORPHAN;CM375PK;;;p-8809-leatherette-phone-wallet-with-ring
CM375RS;ORPHAN;CM375RS;;;p-8809-leatherette-phone-wallet-with-ring
CM375RW;ORPHAN;CM375RW;;;p-8809-leatherette-phone-wallet-with-ring
CM375TL;ORPHAN;CM375TL;;;p-8809-leatherette-phone-wallet-with-ring
CM376BS;ORPHAN;CM376BS;;;p-8724-bottle-opener-wine-corkscrew
CM376BV;ORPHAN;CM376BV;;;p-8724-bottle-opener-wine-corkscrew
CM376CK;ORPHAN;CM376CK;;;p-8724-bottle-opener-wine-corkscrew
CM376DB;ORPHAN;CM376DB;;;p-8724-bottle-opener-wine-corkscrew
CM376GR;ORPHAN;CM376GR;;;p-8724-bottle-opener-wine-corkscrew
CM376LB;ORPHAN;CM376LB;;;p-8724-bottle-opener-wine-corkscrew
CM376PK;ORPHAN;CM376PK;;;p-8724-bottle-opener-wine-corkscrew
CM376RS;ORPHAN;CM376RS;;;p-8724-bottle-opener-wine-corkscrew
CM376RW;ORPHAN;CM376RW;;;p-8724-bottle-opener-wine-corkscrew
CM376TL;ORPHAN;CM376TL;;;p-8724-bottle-opener-wine-corkscrew
CM400A;PRODUCT;CM400A;Silver Star Cutout Trophy Cup - Small;;p-6250-silver-star-cutout-trophy-cup
CM400B;PRODUCT;CM400B;Silver Star Cutout Trophy Cup - Medium;;p-6250-silver-star-cutout-trophy-cup
CM400C;PRODUCT;CM400C;Silver Star Cutout Trophy Cup - Large;;p-6250-silver-star-cutout-trophy-cup
CM401AG;PART;CM401;;CM401;p-8053-gold-metal-trophy-cup
CM401AS;PART;CM401;;CM401;p-6246-silver-metal-trophy-cup
CM401BG;PART;CM401;;CM401;p-8053-gold-metal-trophy-cup
CM401BS;PART;CM401;;CM401;p-6246-silver-metal-trophy-cup
CM401CG;PART;CM401;;CM401;p-8053-gold-metal-trophy-cup
CM401CS;PART;CM401;;CM401;p-6246-silver-metal-trophy-cup
CM403A;PRODUCT;CM403A;Silver Metal Fluted Cup - Small;;p-6244-silver-metal-fluted-cup-small
CM403B;PRODUCT;CM403B;Silver Metal Fluted Cup - Medium;;p-6243-silver-metal-fluted-cup-medium
CM403C;PRODUCT;CM403C;Silver Metal Fluted Cup - Large;;p-6242-silver-metal-fluted-cup-large
CM409;PRODUCT;CM409;Clear Crystal Arrowhead Clock;;p-5589-clear-crystal-arrowhead-clock
CM410;PRODUCT;CM410;Black Piano Arch Clock;;p-5436-black-piano-arch-clock
CM411;PRODUCT;CM411;Black Piano Rectangle Clock;;p-5437-black-piano-rectangle-clock
CM412;PRODUCT;CM412;Rosewood Piano Book Clock;;p-6219-rosewood-piano-book-clock
CM415BB;PRODUCT;CM415*;Leatherette Journal;CM415BS CM415BV CM415CK CM415DB CM415GR CM415LB CM415PK CM415RS CM415RW CM415TL CM415WM;p-8085-leatherette-journal
CM415BS;PRODUCT;CM415*;Leatherette Journal;CM415BB CM415BV CM415CK CM415DB CM415GR CM415LB CM415PK CM415RS CM415RW CM415TL CM415WM;p-8797-leatherette-journal
CM415BV;PRODUCT;CM415*;Leatherette Journal;CM415BB CM415BS CM415CK CM415DB CM415GR CM415LB CM415PK CM415RS CM415RW CM415TL CM415WM;p-8085-leatherette-journal
CM415CK;PRODUCT;CM415*;Leatherette Journal;CM415BB CM415BS CM415BV CM415DB CM415GR CM415LB CM415PK CM415RS CM415RW CM415TL CM415WM;p-8797-leatherette-journal
CM415DB;PRODUCT;CM415*;Leatherette Journal;CM415BB CM415BS CM415BV CM415CK CM415GR CM415LB CM415PK CM415RS CM415RW CM415TL CM415WM;p-8797-leatherette-journal
CM415GR;PRODUCT;CM415*;Leatherette Journal;CM415BB CM415BS CM415BV CM415CK CM415DB CM415LB CM415PK CM415RS CM415RW CM415TL CM415WM;p-8797-leatherette-journal
CM415LB;PRODUCT;CM415*;Leatherette Journal;CM415BB CM415BS CM415BV CM415CK CM415DB CM415GR CM415PK CM415RS CM415RW CM415TL CM415WM;p-8797-leatherette-journal
CM415PK;PRODUCT;CM415*;Leatherette Journal;CM415BB CM415BS CM415BV CM415CK CM415DB CM415GR CM415LB CM415RS CM415RW CM415TL CM415WM;p-8797-leatherette-journal
CM415RS;PRODUCT;CM415*;Leatherette Journal;CM415BB CM415BS CM415BV CM415CK CM415DB CM415GR CM415LB CM415PK CM415RW CM415TL CM415WM;p-8797-leatherette-journal
CM415RW;PRODUCT;CM415*;Leatherette Journal;CM415BB CM415BS CM415BV CM415CK CM415DB CM415GR CM415LB CM415PK CM415RS CM415TL CM415WM;p-8797-leatherette-journal
CM415TL;PRODUCT;CM415*;Leatherette Journal;CM415BB CM415BS CM415BV CM415CK CM415DB CM415GR CM415LB CM415PK CM415RS CM415RW CM415WM;p-8797-leatherette-journal
CM415WM;PRODUCT;CM415*;Leatherette Journal;CM415BB CM415BS CM415BV CM415CK CM415DB CM415GR CM415LB CM415PK CM415RS CM415RW CM415TL;p-8085-leatherette-journal
CM416;PRODUCT;CM416;Bamboo BBQ Set;;p-5398-bamboo-bbq-set
CM417A;PART;CM417;;CM417;p-5400-bamboo-cutting-board-with-handle-cutout
CM417B;PART;CM417;;CM417;p-5400-bamboo-cutting-board-with-handle-cutout
CM418;PRODUCT;CM418;Bamboo Cutting Board with Handle Cutout - Bar Size;;p-5400-bamboo-cutting-board-with-handle-cutout
CM419A;PRODUCT;CM419A;2-Tone Bamboo Cutting Board - Small;;p-5336-2-tone-bamboo-cutting-board
CM419B;PRODUCT;CM419B;2-Tone Bamboo Cutting Board - Large;;p-5336-2-tone-bamboo-cutting-board
CM420;PRODUCT;CM420;Bamboo Cheese Cutting Board;;p-5399-bamboo-cheese-cutting-board
CM423;ORPHAN;CM423;;;p-6231-round-bamboo-wine-gift-set
CM424;PRODUCT;CM424;Rosewood 2-Piece Wine Gift Set;;p-6229-rosewood-wine-gift-set
CM425BS;PART;CM425;;CM425;p-8826-leatherette-wine-box
CM425CK;ORPHAN;CM425CK;;;p-5628-cork-wine-box
CM425DB;ORPHAN;CM425DB;;;p-8826-leatherette-wine-box
CM425GR;PART;CM425;;CM425;p-8826-leatherette-wine-box
CM425RW;PART;CM425;;CM425;p-8826-leatherette-wine-box
CM428DB;ORPHAN;CM428DB;;;p-8828-leatherette-picture-frame
CM428GR;ORPHAN;CM428GR;;;p-8828-leatherette-picture-frame
CM428LB;ORPHAN;CM428LB;;;p-8828-leatherette-picture-frame
CM428RW;ORPHAN;CM428RW;;;p-8828-leatherette-picture-frame
CM429BS;ORPHAN;CM429BS;;;p-8828-leatherette-picture-frame
CM450BS;PRODUCT;CM450*;Leatherette Flask Gift Set;CM450DB CM450GR CM450PK CM450RW;p-8792-leatherette-flask-gift-set
CM450DB;PRODUCT;CM450*;Leatherette Flask Gift Set;CM450BS CM450GR CM450PK CM450RW;p-8792-leatherette-flask-gift-set
CM450GR;PRODUCT;CM450*;Leatherette Flask Gift Set;CM450BS CM450DB CM450PK CM450RW;p-8792-leatherette-flask-gift-set
CM450LB;ORPHAN;CM450LB;;;p-8792-leatherette-flask-gift-set
CM450PK;PRODUCT;CM450*;Leatherette Flask Gift Set;CM450BS CM450DB CM450GR CM450RW;p-8792-leatherette-flask-gift-set
CM450RW;PRODUCT;CM450*;Leatherette Flask Gift Set;CM450BS CM450DB CM450GR CM450PK;p-8792-leatherette-flask-gift-set
CM450TL;ORPHAN;CM450TL;;;p-8792-leatherette-flask-gift-set
CM451;PRODUCT;CM451;Maple Gift Set - Pen - Keychain - & Business Card Holder;;p-6076-maple-business-gift-set
CM452BS;PART;CM452;;CM452;p-8802-leatherette-mouse-pad
CM452DB;PART;CM452;;CM452;p-8802-leatherette-mouse-pad
CM452GR;PART;CM452;;CM452;p-8802-leatherette-mouse-pad
CM452LB;ORPHAN;CM452LB;;;p-8802-leatherette-mouse-pad
CM452PK;ORPHAN;CM452PK;;;p-8802-leatherette-mouse-pad
CM452RS;ORPHAN;CM452RS;;;p-8802-leatherette-mouse-pad
CM452RW;PART;CM452;;CM452;p-8802-leatherette-mouse-pad
CM452TL;ORPHAN;CM452TL;;;p-8802-leatherette-mouse-pad
CM453;ORPHAN;CM453;;;p-5405-beechwood-keychain
CM454;PRODUCT;CM454;Silver with Black Keychain;;p-6254-silver-with-black-keychain
CM455BS;PART;CM455;;CM455;p-8799-leatherette-money-clip-small
CM455BV;PART;CM455;;CM455;p-8088-leatherette-money-clip-large
CM455DB;PART;CM455;;CM455;p-8800-leatherette-money-clip-large
