estado;handle;titulo;ps_product_ids;que_hace_falta;admin
ESPERA_CODIGO;p-5808-arizona-state-silhouette-awards;Arizona State Silhouette Awards;CD900AZ;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6490
ESPERA_CODIGO;p-5809-california-state-silhouette-awards;California State Silhouette Awards;CD900CA;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6491
ESPERA_CODIGO;p-5810-colorado-state-silhouette-awards;Colorado State Silhouette Awards;CD900CO;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6492
ESPERA_CODIGO;p-5811-connecticut-state-silhouette-awards;Connecticut State Silhouette Awards;CD900CT;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6493
ESPERA_CODIGO;p-5812-delaware-state-silhouette-awards;Delaware State Silhouette Awards;CD900DE;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6494
ESPERA_CODIGO;p-5813-florida-state-silhouette-awards;Florida State Silhouette Awards;CD900FL;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6495
ESPERA_CODIGO;p-5814-georgia-state-silhouette-awards;Georgia State Silhouette Awards;CD900GA;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6496
ESPERA_CODIGO;p-5815-hawaii-state-silhouette-awards;Hawaii State Silhouette Awards;CD900HI;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6497
ESPERA_CODIGO;p-5816-iowa-state-silhouette-awards;Iowa State Silhouette Awards;CD900IA;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6498
ESPERA_CODIGO;p-5817-idaho-state-sillhouette-awards;Idaho State Sillhouette Awards;CD900ID;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6499
ESPERA_CODIGO;p-5818-indiana-state-silhouette-awards;Indiana State Silhouette Awards;CD900IN;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6500
ESPERA_CODIGO;p-5819-kansas-state-silhouette-awards;Kansas State Silhouette Awards;CD900KS;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6501
ESPERA_CODIGO;p-5820-kentucky-state-silhouette-awards;Kentucky State Silhouette Awards;CD900KY;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6502
ESPERA_CODIGO;p-5821-louisiana-state-silhouette-awards;Louisiana State Silhouette Awards;CD900LA;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6503
ESPERA_CODIGO;p-5822-massachusetts-state-silhouette-awards;Massachusetts State Silhouette Awards;CD900MA;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6504
ESPERA_CODIGO;p-5823-maryland-state-silhouette-awards;Maryland State Silhouette Awards;CD900MD;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6505
ESPERA_CODIGO;p-5824-maine-state-silhouette-awards;Maine State Silhouette Awards;CD900ME;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6506
ESPERA_CODIGO;p-5825-michigan-state-silhouette-awards;Michigan State Silhouette Awards;CD900MI;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6507
ESPERA_CODIGO;p-5826-minnesota-state-silhouette-awards;Minnesota State Silhouette Awards;CD900MN;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6508
ESPERA_CODIGO;p-5827-missouri-state-silhouette-awards;Missouri State Silhouette Awards;CD900MO;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6509
ESPERA_CODIGO;p-5828-mississippi-state-silhouette-awards;Mississippi State Silhouette Awards;CD900MS;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6510
ESPERA_CODIGO;p-5829-montana-state-silhouette-awards;Montana State Silhouette Awards;CD900MT;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6511
ESPERA_CODIGO;p-5830-north-carolina-state-silhouette-awards;North Carolina State Silhouette Awards;CD900NC;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6512
ESPERA_CODIGO;p-5831-north-dakota-state-silhouette-awards;North Dakota State Silhouette Awards;CD900ND;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6513
